study index1
Site ID   Ant. Elev. AMSL (m )  Frequency (MHz)  ERPi(dbW) Orient./Pol.  Group  Coordinates
--------  --------------------  ---------------  ----------  ------------  -----  ---------------------------
ABAA0001                 617.6        900.00000       17.00   Isotropic-horizontal      1  N44°14'35.95" W123°25'41.93"
ABAB0001                 435.4        900.00000       15.00   Isotropic-horizontal      1  N43°58'33.22" W123°22'46.50"
ABAC0001                 969.6        900.00000       21.90    Use file-horizontal      1  N44°14'14.69" W122°56'41.23"
ABAD0002                 815.7        900.00000       19.40    Use file-horizontal      1  N44°13'14.56" W122°54'47.38"
ABAD0003                 815.7        900.00000       18.00    Use file-horizontal      1  N44°13'14.56" W122°54'47.38"
ABAE0001                 349.2        900.00000       15.00   Isotropic-horizontal      1  N44°08'49.08" W123°20'33.64"
ABAF0001                 624.6        900.00000       20.00    Use file-horizontal      1  N44°19'39.00" W123°26'36.30"
ABAG0001                 565.2        900.00000       18.00    Use file-horizontal      1  N44°02'19.70" W123°26'41.01"
ABAI0001                 610.7        900.00000       20.00    Use file-horizontal      1  N43°59'00.91" W123°05'44.12"
ABAJ0001                 686.2        900.00000       20.00    Use file-horizontal      1  N44°10'15.56" W123°00'27.67"
ABAL0001                 469.5        900.00000       17.00   Isotropic-horizontal      1  N44°00'21.80" W122°57'50.99"
ABAM0001                 684.9        900.00000       15.00   Isotropic-horizontal      1  N44°06'07.39" W122°53'35.64"
ABAO0001                 667.3        900.00000       15.00   Isotropic-horizontal      1  N44°19'07.48" W122°57'06.42"
